Training Log - Started at 2025-08-15 02:55:54
==================================================
Epoch,Average_Loss,Min_Batch_Loss,Max_Batch_Loss,Training_Time(min)
1,0.218363,0.062338,1.051569,30.68
2,0.185189,0.056066,0.610365,30.42
3,0.178533,0.060003,1.144766,30.31
4,0.171781,0.035303,0.966148,30.30
5,0.169632,0.042034,1.098355,30.55
6,0.166570,0.054946,1.257035,30.61
7,0.161956,0.046528,1.208989,30.23
8,0.161674,0.051451,0.748699,30.14
9,0.157477,0.042151,1.102208,29.85
10,0.157016,0.045191,0.597243,29.94
11,0.155647,0.032308,0.521972,30.29
12,0.152916,0.034262,0.678141,30.17
13,0.152536,0.028949,1.028290,30.29
14,0.149606,0.043951,1.102244,29.79
15,0.148725,0.036796,1.106334,30.17
16,0.146667,0.023917,1.150718,29.97
17,0.142001,0.041227,0.396734,30.26
18,0.142207,0.039768,0.584489,30.49
19,0.140963,0.043837,0.696149,29.82
20,0.143767,0.023367,2.370647,30.12
21,0.137249,0.035295,0.700320,30.31
22,0.135424,0.034992,0.418892,30.34
23,0.135486,0.038200,1.210623,30.34
24,0.133284,0.033238,1.019721,30.40
25,0.130341,0.033180,0.735965,29.93
26,0.128555,0.034289,0.974546,30.33
27,0.127118,0.030791,0.693922,30.59
28,0.125544,0.033388,0.418297,30.62
29,0.125567,0.027889,0.561743,30.31
30,0.122039,0.027611,0.455721,30.41
31,0.121428,0.016941,0.960668,30.48
32,0.120644,0.029492,0.459144,30.52
33,0.119118,0.019478,0.606346,30.50
34,0.116094,0.025560,0.483823,30.35
35,0.116529,0.025923,1.228360,30.45
36,0.117682,0.023428,0.412626,30.36
37,0.114052,0.024677,0.435853,30.40
38,0.114340,0.025729,0.343119,30.59
39,0.113120,0.027396,0.389036,30.74
40,0.111550,0.024132,0.392925,30.85
41,0.110615,0.023231,0.431434,30.66
42,0.111864,0.021022,0.507429,30.88
43,0.110349,0.017519,0.463436,30.38
44,0.107983,0.025462,0.504368,30.59
45,0.109639,0.022734,0.380475,30.74
46,0.108238,0.018232,0.500671,30.55
47,0.108432,0.019173,0.584714,30.48
48,0.108282,0.025402,0.516910,30.63
49,0.110712,0.014580,0.792306,30.12
50,0.106151,0.016984,0.429089,30.11
==================================================
Training completed at 2025-08-16 04:14:35
Total epochs: 50
Final loss: 0.106151
