Training Log - Started at 2025-10-08 14:45:14
==================================================
Epoch,Average_Loss,Min_Batch_Loss,Max_Batch_Loss,Training_Time(min)
1,0.186288,0.052251,1.634902,3.56
2,0.129032,0.046408,0.542879,3.53
3,0.116334,0.030759,1.346635,3.55
4,0.109181,0.032668,0.652853,3.54
5,0.102708,0.035661,1.204827,3.54
6,0.100099,0.035747,0.919740,3.44
7,0.096625,0.031368,0.428281,3.45
8,0.092984,0.030136,0.385419,3.45
9,0.089921,0.029458,0.481271,3.53
10,0.088647,0.030510,0.470280,3.53
11,0.086666,0.025238,0.669307,3.53
12,0.084737,0.027015,0.933322,3.54
13,0.083718,0.030563,0.869965,3.53
14,0.081171,0.023216,0.334893,3.54
15,0.078796,0.022513,0.346785,3.55
16,0.078162,0.027772,0.584740,3.53
17,0.076452,0.022436,0.464821,3.44
18,0.073542,0.024132,0.481596,3.55
19,0.072013,0.021457,0.307149,3.52
20,0.069934,0.020780,0.405157,3.49
21,0.068120,0.019356,0.478627,3.53
22,0.067281,0.021399,0.395688,3.53
23,0.064913,0.018735,0.269860,3.51
24,0.063966,0.018519,0.478614,3.53
25,0.062845,0.018602,0.416962,3.54
==================================================
Training completed at 2025-10-08 16:13:23
Total epochs: 25
Final loss: 0.062845

--- Resumed training at 2025-10-08 19:08:52 ---
26,0.060410,0.012845,0.494654,3.90
27,0.059700,0.016872,0.366744,3.52
28,0.058890,0.021025,0.608684,3.63
29,0.056148,0.019081,0.360193,3.62
30,0.055843,0.014736,0.230543,3.63
31,0.053868,0.011842,0.197014,3.62
32,0.053662,0.016609,0.273601,3.62
33,0.053130,0.016059,0.330317,3.55
34,0.051097,0.013711,0.217667,3.55
35,0.051067,0.015424,0.267972,3.60
36,0.050733,0.014254,0.290284,3.61
37,0.050206,0.015322,0.268428,3.54
38,0.048103,0.014885,0.376853,3.61
39,0.048015,0.012990,0.439674,3.62
40,0.046753,0.015827,0.188229,3.57
41,0.046765,0.012490,0.232010,3.60
42,0.045997,0.012502,0.222737,3.52
43,0.046530,0.014154,0.362412,3.27
44,0.045041,0.009992,0.236824,3.24
45,0.045090,0.012416,0.197899,3.29
46,0.044229,0.012429,0.472527,3.24
47,0.044281,0.013814,0.326222,3.25
48,0.042765,0.012666,0.368658,3.33
49,0.042680,0.013109,0.266917,3.22
50,0.043032,0.013390,0.416784,3.26
